Order_ID,Order_Date,Shipment_Date,Delivery_Date,Month,Quarter,Year,Region,Warehouse,Supplier,Product_Category,Product,Units_Ordered,Units_Shipped,Inventory_On_Hand,Reorder_Level,Lead_Time_Days,Delivery_Status,Delivery_Delay_Days,Transportation_Cost,Inventory_Holding_Cost,Demand_Forecast,Actual_Demand
ORD-1040,2025-03-14,2025-03-17,2025-03-24,Mar,Q1,2025,North,Lucknow-W2,Apex Logistics,Pharma,Face Mask,104,95,841,800,7,On-Time,0,25688.27,4753.84,142,130
ORD-1041,2025-10-28,2025-10-30,2025-11-10,Oct,Q4,2025,West,Ahmedabad-W8,GlobalLink Supply,Automotive,Tyre,215,210,1801,238,11,Delayed,8,15973.85,10364.75,375,352
ORD-1042,2024-12-10,2024-12-11,2024-12-20,Dec,Q4,2024,East,Kolkata-W5,HyperChain Corp,FMCG,Biscuits,458,407,672,760,9,On-Time,0,17432.09,2182.72,114,137
ORD-1043,2025-02-20,2025-02-22,2025-03-04,Feb,Q1,2025,South,Bengaluru-W4,HyperChain Corp,Pharma,Paracetamol,97,86,928,399,10,On-Time,0,31170.0,10518.69,291,311
ORD-1044,2025-07-17,2025-07-19,2025-07-26,Jul,Q3,2025,West,Ahmedabad-W8,EcoShip India,Apparel,Jeans,111,106,746,272,7,On-Time,0,47789.49,14422.94,122,138
ORD-1045,2025-05-10,2025-05-12,2025-05-25,May,Q2,2025,East,Kolkata-W5,Delta Freight,Apparel,Jeans,234,205,128,696,13,Delayed,1,48843.27,11960.46,467,397
ORD-1046,2025-10-15,2025-10-17,2025-10-20,Oct,Q4,2025,North,Lucknow-W2,HyperChain Corp,Pharma,Face Mask,224,196,205,408,3,On-Time,0,26497.81,16798.08,244,245
ORD-1047,2025-08-13,2025-08-16,2025-08-28,Aug,Q3,2025,North,Delhi-W1,ClearPath Distributors,Automotive,Tyre,93,92,342,721,12,On-Time,0,32284.29,16233.33,172,155
ORD-1048,2025-01-24,2025-01-26,2025-02-04,Jan,Q1,2025,East,Bhubaneswar-W6,EcoShip India,Automotive,Brake Pad,362,359,303,362,9,On-Time,0,16909.08,3461.37,140,162
ORD-1049,2024-03-17,2024-03-18,2024-03-20,Mar,Q1,2024,West,Ahmedabad-W8,JetStream Logistics,Pharma,Sanitizer,66,58,1547,439,2,On-Time,0,25431.41,14372.93,464,513
ORD-1050,2025-10-02,2025-10-05,2025-10-17,Oct,Q4,2025,South,Bengaluru-W4,BlueStar Supply Co,Automotive,Engine Oil,381,332,644,295,12,Delayed,3,40668.29,12710.79,474,462
ORD-1051,2024-10-22,2024-10-24,2024-10-27,Oct,Q4,2024,West,Ahmedabad-W8,GlobalLink Supply,Apparel,Sneakers,274,236,181,592,3,On-Time,0,32167.11,2465.57,186,157
ORD-1052,2025-08-12,2025-08-15,2025-08-17,Aug,Q3,2025,East,Kolkata-W5,ClearPath Distributors,Pharma,Face Mask,192,168,1298,596,2,On-Time,0,27127.66,3642.36,210,218
ORD-1053,2024-11-24,2024-11-27,2024-11-30,Nov,Q4,2024,South,Bengaluru-W4,GlobalLink Supply,Pharma,Sanitizer,389,385,1766,713,3,Delayed,2,19153.27,7818.93,418,435
ORD-1054,2025-06-10,2025-06-11,2025-06-23,Jun,Q2,2025,West,Ahmedabad-W8,Apex Logistics,FMCG,Biscuits,368,354,1380,602,12,On-Time,0,14160.12,11885.95,470,514
ORD-1055,2025-12-16,2025-12-18,2025-12-21,Dec,Q4,2025,North,Delhi-W1,ClearPath Distributors,Apparel,T-Shirt,332,302,560,266,3,On-Time,0,10285.98,16978.58,346,295
ORD-1056,2024-10-25,2024-10-28,2024-11-10,Oct,Q4,2024,East,Bhubaneswar-W6,HyperChain Corp,Pharma,Vitamin C,283,263,885,345,13,On-Time,0,27870.84,17827.87,399,482
ORD-1057,2025-02-28,2025-03-02,2025-03-16,Feb,Q1,2025,East,Kolkata-W5,EcoShip India,Apparel,Sneakers,493,430,1203,645,14,On-Time,0,29836.28,11781.74,320,273
ORD-1058,2024-07-12,2024-07-15,2024-07-20,Jul,Q3,2024,West,Mumbai-W7,GlobalLink Supply,Electronics,Tablet,431,396,1970,540,5,On-Time,0,34866.0,16773.46,116,117
ORD-1059,2024-02-07,2024-02-08,2024-02-18,Feb,Q1,2024,East,Kolkata-W5,HyperChain Corp,Electronics,Smart Watch,57,54,939,308,10,Delayed,5,20235.26,14468.68,309,372
ORD-1060,2024-12-02,2024-12-05,2024-12-20,Dec,Q4,2024,West,Ahmedabad-W8,HyperChain Corp,Automotive,Brake Pad,366,314,1392,444,15,On-Time,0,38604.49,9811.49,99,90
ORD-1061,2025-12-21,2025-12-22,2025-12-31,Dec,Q4,2025,South,Bengaluru-W4,Apex Logistics,Electronics,Tablet,457,392,834,533,9,On-Time,0,15988.88,9416.93,434,389
ORD-1062,2024-06-23,2024-06-24,2024-06-27,Jun,Q2,2024,West,Mumbai-W7,HyperChain Corp,Automotive,Engine Oil,168,154,620,620,3,Delayed,1,45450.88,10374.56,200,187
ORD-1063,2024-06-10,2024-06-11,2024-06-20,Jun,Q2,2024,East,Bhubaneswar-W6,GlobalLink Supply,Apparel,Sneakers,482,431,887,644,9,Delayed,7,30736.52,12346.61,365,398
ORD-1064,2025-11-05,2025-11-07,2025-11-13,Nov,Q4,2025,North,Delhi-W1,JetStream Logistics,Pharma,Sanitizer,447,433,1343,510,6,Delayed,4,32940.1,14199.76,452,409
ORD-1065,2025-11-28,2025-11-29,2025-12-11,Nov,Q4,2025,North,Delhi-W1,EcoShip India,Pharma,Paracetamol,346,313,369,242,12,On-Time,0,19702.36,9479.06,121,142
ORD-1066,2025-07-06,2025-07-08,2025-07-18,Jul,Q3,2025,East,Kolkata-W5,EcoShip India,Pharma,Sanitizer,432,423,1747,267,10,On-Time,0,8388.47,15574.73,177,155
ORD-1067,2025-11-21,2025-11-23,2025-12-08,Nov,Q4,2025,East,Kolkata-W5,GlobalLink Supply,Electronics,Tablet,324,281,854,418,15,On-Time,0,42008.78,18925.25,101,95
ORD-1068,2025-04-27,2025-04-28,2025-05-09,Apr,Q2,2025,East,Kolkata-W5,BlueStar Supply Co,Pharma,Sanitizer,382,348,386,196,11,On-Time,0,18696.41,10867.24,79,89
ORD-1069,2025-07-04,2025-07-05,2025-07-13,Jul,Q3,2025,West,Ahmedabad-W8,IndoTrans Pvt Ltd,Pharma,Vitamin C,262,248,1807,651,8,On-Time,0,47257.39,7035.32,372,393
ORD-1070,2025-03-30,2025-04-01,2025-04-06,Mar,Q1,2025,East,Kolkata-W5,FastTrack Carriers,Automotive,Tyre,81,73,488,275,5,On-Time,0,42088.6,3650.12,156,148
ORD-1071,2025-09-03,2025-09-04,2025-09-06,Sep,Q3,2025,East,Kolkata-W5,ClearPath Distributors,Automotive,Engine Oil,85,82,1235,362,2,On-Time,0,41587.38,6193.98,374,436
ORD-1072,2025-09-02,2025-09-03,2025-09-09,Sep,Q3,2025,South,Chennai-W3,IndoTrans Pvt Ltd,Apparel,Jeans,106,100,152,284,6,Delayed,4,31498.38,2284.06,143,175
ORD-1073,2025-03-07,2025-03-10,2025-03-13,Mar,Q1,2025,North,Lucknow-W2,HyperChain Corp,Apparel,T-Shirt,281,260,1359,194,3,On-Time,0,45893.83,13860.26,190,194
ORD-1074,2024-02-01,2024-02-02,2024-02-11,Feb,Q1,2024,West,Ahmedabad-W8,BlueStar Supply Co,Pharma,Face Mask,87,85,759,772,9,Delayed,3,17375.72,13395.38,347,320
ORD-1075,2025-01-25,2025-01-28,2025-02-07,Jan,Q1,2025,East,Bhubaneswar-W6,IndoTrans Pvt Ltd,Automotive,Battery,100,96,334,714,10,On-Time,0,14676.04,10127.99,150,156
ORD-1076,2025-04-09,2025-04-11,2025-04-19,Apr,Q2,2025,North,Lucknow-W2,GlobalLink Supply,Apparel,Jacket,241,239,1506,635,8,Delayed,2,9195.35,3738.16,396,418
ORD-1077,2024-05-13,2024-05-16,2024-05-18,May,Q2,2024,East,Kolkata-W5,GlobalLink Supply,Apparel,Sneakers,494,487,205,444,2,On-Time,0,20824.08,12402.53,127,148
ORD-1078,2025-05-08,2025-05-09,2025-05-24,May,Q2,2025,North,Lucknow-W2,IndoTrans Pvt Ltd,Apparel,T-Shirt,440,392,563,589,15,On-Time,0,48854.6,16731.68,378,354
ORD-1079,2025-07-24,2025-07-25,2025-08-05,Jul,Q3,2025,East,Kolkata-W5,ClearPath Distributors,Apparel,Jacket,223,201,471,296,11,On-Time,0,23035.3,4553.74,432,364
ORD-1080,2024-04-03,2024-04-06,2024-04-16,Apr,Q2,2024,South,Bengaluru-W4,GlobalLink Supply,Pharma,Sanitizer,130,117,1577,482,10,On-Time,0,30541.71,3529.23,56,66
ORD-1081,2025-09-24,2025-09-25,2025-10-07,Sep,Q3,2025,North,Lucknow-W2,HyperChain Corp,Pharma,Face Mask,360,329,659,370,12,On-Time,0,10121.79,9738.45,198,185
ORD-1082,2025-08-30,2025-09-01,2025-09-11,Aug,Q3,2025,East,Kolkata-W5,Delta Freight,Pharma,Paracetamol,53,46,532,290,10,On-Time,0,18025.12,4159.72,323,294
ORD-1083,2024-06-28,2024-06-29,2024-07-07,Jun,Q2,2024,South,Bengaluru-W4,BlueStar Supply Co,Pharma,Paracetamol,273,232,1986,229,8,On-Time,0,30909.16,12321.19,425,403
ORD-1084,2024-10-23,2024-10-24,2024-11-01,Oct,Q4,2024,North,Lucknow-W2,ClearPath Distributors,Automotive,Battery,475,452,841,240,8,On-Time,0,9763.84,9842.18,247,245
ORD-1085,2025-02-09,2025-02-11,2025-02-24,Feb,Q1,2025,East,Kolkata-W5,FastTrack Carriers,FMCG,Detergent,311,293,1186,672,13,Delayed,6,20799.49,19248.02,416,370
ORD-1086,2024-08-29,2024-08-30,2024-09-03,Aug,Q3,2024,East,Kolkata-W5,ClearPath Distributors,Automotive,Engine Oil,439,423,254,331,4,On-Time,0,33257.69,10351.16,362,328
ORD-1087,2025-04-04,2025-04-07,2025-04-18,Apr,Q2,2025,East,Bhubaneswar-W6,ClearPath Distributors,Pharma,Paracetamol,290,265,720,431,11,On-Time,0,20837.4,3335.43,270,276
ORD-1088,2024-02-28,2024-03-01,2024-03-16,Feb,Q1,2024,East,Kolkata-W5,BlueStar Supply Co,Automotive,Battery,286,267,1721,192,15,On-Time,0,41441.72,13733.07,212,204
ORD-1089,2025-05-28,2025-05-29,2025-05-31,May,Q2,2025,West,Mumbai-W7,FastTrack Carriers,Electronics,Smartphone,70,62,996,599,2,On-Time,0,32441.24,8550.16,464,509
ORD-1090,2025-02-22,2025-02-24,2025-03-08,Feb,Q1,2025,North,Lucknow-W2,BlueStar Supply Co,Apparel,T-Shirt,335,318,681,408,12,On-Time,0,34545.38,18314.17,418,487
ORD-1091,2024-03-24,2024-03-27,2024-04-08,Mar,Q1,2024,South,Bengaluru-W4,EcoShip India,Pharma,Vitamin C,354,338,273,467,12,On-Time,0,33957.2,7912.58,112,105
ORD-1092,2025-12-02,2025-12-05,2025-12-08,Dec,Q4,2025,West,Ahmedabad-W8,Apex Logistics,Apparel,Jacket,142,140,799,647,3,Delayed,3,11972.53,7324.26,372,443
ORD-1093,2025-07-06,2025-07-09,2025-07-19,Jul,Q3,2025,North,Lucknow-W2,JetStream Logistics,FMCG,Cooking Oil,128,111,1802,789,10,On-Time,0,12449.26,9878.12,236,250
ORD-1094,2024-08-31,2024-09-02,2024-09-13,Aug,Q3,2024,East,Bhubaneswar-W6,Delta Freight,Automotive,Engine Oil,208,206,1706,630,11,On-Time,0,13730.73,14209.52,396,332
ORD-1095,2025-04-17,2025-04-19,2025-05-03,Apr,Q2,2025,West,Ahmedabad-W8,ClearPath Distributors,FMCG,Shampoo,496,440,1413,642,14,On-Time,0,29954.33,3846.62,476,473
ORD-1096,2024-05-07,2024-05-09,2024-05-12,May,Q2,2024,South,Bengaluru-W4,HyperChain Corp,Automotive,Engine Oil,475,434,1964,377,3,On-Time,0,44808.34,18748.49,206,252
ORD-1097,2025-05-29,2025-05-31,2025-06-05,May,Q2,2025,West,Mumbai-W7,FastTrack Carriers,FMCG,Detergent,213,210,1818,493,5,On-Time,0,11191.98,7163.83,458,464
ORD-1098,2024-05-22,2024-05-25,2024-06-03,May,Q2,2024,West,Mumbai-W7,BlueStar Supply Co,Electronics,Tablet,160,156,1223,773,9,On-Time,0,10003.41,7185.83,164,194
ORD-1099,2024-09-01,2024-09-03,2024-09-15,Sep,Q3,2024,West,Mumbai-W7,BlueStar Supply Co,Pharma,Paracetamol,373,345,595,297,12,Delayed,1,32666.43,6330.16,221,253
ORD-1100,2025-11-15,2025-11-16,2025-11-26,Nov,Q4,2025,East,Kolkata-W5,IndoTrans Pvt Ltd,Automotive,Brake Pad,249,244,189,800,10,On-Time,0,21798.61,15451.7,247,222
ORD-1101,2024-12-19,2024-12-20,2025-01-02,Dec,Q4,2024,North,Lucknow-W2,ClearPath Distributors,Electronics,Tablet,329,296,1416,329,13,On-Time,0,35810.72,19654.75,300,285
ORD-1102,2024-05-18,2024-05-19,2024-06-01,May,Q2,2024,West,Mumbai-W7,EcoShip India,FMCG,Detergent,455,400,185,473,13,On-Time,0,28192.26,19804.21,314,318
ORD-1103,2024-02-07,2024-02-10,2024-02-15,Feb,Q1,2024,East,Bhubaneswar-W6,Apex Logistics,Apparel,Jacket,113,109,994,559,5,On-Time,0,45258.69,8959.61,134,135
ORD-1104,2025-05-24,2025-05-26,2025-06-09,May,Q2,2025,East,Kolkata-W5,GlobalLink Supply,Electronics,Smart Watch,358,357,469,708,14,Delayed,2,8603.1,13896.55,191,196
ORD-1105,2025-03-12,2025-03-13,2025-03-26,Mar,Q1,2025,West,Ahmedabad-W8,HyperChain Corp,Electronics,Tablet,364,363,662,208,13,Delayed,7,21349.0,16419.73,334,387
ORD-1106,2024-02-01,2024-02-02,2024-02-17,Feb,Q1,2024,West,Mumbai-W7,ClearPath Distributors,Electronics,Smartphone,448,424,841,542,15,On-Time,0,6457.34,4761.89,318,270
ORD-1107,2025-01-15,2025-01-17,2025-01-31,Jan,Q1,2025,North,Delhi-W1,IndoTrans Pvt Ltd,Apparel,Sneakers,210,198,611,266,14,Delayed,3,27456.98,8965.77,277,327
ORD-1108,2024-09-23,2024-09-26,2024-10-05,Sep,Q3,2024,South,Bengaluru-W4,HyperChain Corp,FMCG,Detergent,119,116,1025,326,9,On-Time,0,25030.0,3580.23,461,389
ORD-1109,2024-11-23,2024-11-26,2024-12-03,Nov,Q4,2024,North,Lucknow-W2,EcoShip India,FMCG,Shampoo,456,412,559,274,7,On-Time,0,40642.96,6261.25,236,292
ORD-1110,2025-07-21,2025-07-24,2025-07-31,Jul,Q3,2025,West,Mumbai-W7,JetStream Logistics,Electronics,Laptop,208,189,1568,640,7,On-Time,0,39612.4,16820.11,65,77
ORD-1111,2024-11-20,2024-11-23,2024-11-26,Nov,Q4,2024,West,Ahmedabad-W8,IndoTrans Pvt Ltd,Apparel,Jeans,499,486,1229,751,3,Delayed,3,24467.82,18392.82,77,68
ORD-1112,2025-06-14,2025-06-15,2025-06-21,Jun,Q2,2025,South,Chennai-W3,FastTrack Carriers,FMCG,Biscuits,315,310,1832,230,6,Delayed,9,17350.3,13250.4,358,354
ORD-1113,2025-05-29,2025-06-01,2025-06-05,May,Q2,2025,South,Chennai-W3,JetStream Logistics,Automotive,Tyre,481,475,184,179,4,Delayed,10,16909.52,5794.55,320,332
ORD-1114,2025-10-16,2025-10-17,2025-10-26,Oct,Q4,2025,East,Bhubaneswar-W6,HyperChain Corp,FMCG,Cooking Oil,202,185,1510,211,9,Delayed,7,26791.3,5672.41,300,350
ORD-1115,2024-11-22,2024-11-25,2024-12-10,Nov,Q4,2024,East,Bhubaneswar-W6,ClearPath Distributors,Apparel,T-Shirt,213,188,350,423,15,On-Time,0,11339.49,2910.9,270,236
ORD-1116,2025-03-04,2025-03-05,2025-03-20,Mar,Q1,2025,South,Bengaluru-W4,JetStream Logistics,Apparel,Jeans,440,384,1154,628,15,On-Time,0,18884.32,2417.17,241,241
ORD-1117,2024-09-03,2024-09-04,2024-09-15,Sep,Q3,2024,East,Kolkata-W5,Apex Logistics,Apparel,Sneakers,355,348,1439,631,11,Delayed,1,43122.76,9756.7,444,491
ORD-1118,2025-01-09,2025-01-11,2025-01-18,Jan,Q1,2025,North,Lucknow-W2,Apex Logistics,Automotive,Engine Oil,235,219,250,545,7,On-Time,0,39398.19,7034.97,384,359
ORD-1119,2024-05-01,2024-05-02,2024-05-05,May,Q2,2024,West,Ahmedabad-W8,FastTrack Carriers,Automotive,Tyre,436,380,1333,671,3,On-Time,0,6811.47,2700.45,377,405
ORD-1120,2025-04-30,2025-05-03,2025-05-12,Apr,Q2,2025,South,Chennai-W3,FastTrack Carriers,Automotive,Tyre,133,120,1362,456,9,On-Time,0,27829.17,11174.85,314,290
ORD-1121,2024-11-02,2024-11-04,2024-11-19,Nov,Q4,2024,North,Lucknow-W2,FastTrack Carriers,Electronics,Smart Watch,348,311,1940,794,15,Delayed,8,16948.87,13800.64,450,437
ORD-1122,2024-08-21,2024-08-24,2024-08-26,Aug,Q3,2024,West,Mumbai-W7,IndoTrans Pvt Ltd,Automotive,Battery,125,121,596,182,2,On-Time,0,36523.44,5434.12,245,265
ORD-1123,2024-06-04,2024-06-06,2024-06-19,Jun,Q2,2024,South,Bengaluru-W4,IndoTrans Pvt Ltd,Automotive,Battery,496,484,1589,213,13,On-Time,0,28340.74,12095.96,375,379
ORD-1124,2025-01-20,2025-01-22,2025-01-26,Jan,Q1,2025,West,Ahmedabad-W8,IndoTrans Pvt Ltd,Apparel,Jacket,362,333,604,435,4,On-Time,0,15119.02,19512.39,212,192
ORD-1125,2025-12-22,2025-12-23,2026-01-05,Dec,Q4,2025,West,Ahmedabad-W8,HyperChain Corp,Apparel,Jacket,197,171,1485,706,13,On-Time,0,49107.22,16730.79,488,435
ORD-1126,2024-10-24,2024-10-25,2024-10-31,Oct,Q4,2024,North,Lucknow-W2,HyperChain Corp,Apparel,Sneakers,159,139,1203,427,6,On-Time,0,36327.71,4470.91,389,355
ORD-1127,2024-09-02,2024-09-03,2024-09-05,Sep,Q3,2024,South,Chennai-W3,Apex Logistics,Electronics,Smart Watch,219,209,305,290,2,Delayed,9,49005.98,4842.94,439,374
ORD-1128,2025-05-02,2025-05-04,2025-05-16,May,Q2,2025,South,Bengaluru-W4,FastTrack Carriers,Apparel,T-Shirt,443,382,1275,387,12,On-Time,0,37540.3,18860.05,592,507
ORD-1129,2025-03-03,2025-03-04,2025-03-06,Mar,Q1,2025,West,Ahmedabad-W8,ClearPath Distributors,Apparel,T-Shirt,54,48,1334,259,2,On-Time,0,20076.9,10178.28,374,368
ORD-1130,2025-05-20,2025-05-21,2025-06-05,May,Q2,2025,West,Ahmedabad-W8,Delta Freight,Electronics,Tablet,133,127,1427,413,15,On-Time,0,5633.79,8068.02,196,191
ORD-1131,2024-07-16,2024-07-17,2024-07-28,Jul,Q3,2024,West,Ahmedabad-W8,IndoTrans Pvt Ltd,Apparel,T-Shirt,255,242,478,293,11,On-Time,0,47112.14,2122.94,211,236
ORD-1132,2024-09-30,2024-10-02,2024-10-08,Sep,Q3,2024,North,Lucknow-W2,FastTrack Carriers,FMCG,Detergent,391,339,728,313,6,On-Time,0,27613.42,18112.13,443,400
ORD-1133,2025-12-07,2025-12-08,2025-12-20,Dec,Q4,2025,East,Bhubaneswar-W6,JetStream Logistics,FMCG,Shampoo,118,108,1031,770,12,On-Time,0,36587.33,18430.34,433,427
